Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2025-02-25;7;23;28;34;9
2025-02-27;16;33;39;57;14
2018-10-20;20;49;30;80;22
2018-10-21;15;59;44;82;30
2018-10-22;55;68;52;153;31
2018-10-29;19;30;15;59;5
2018-11-05;48;43;29;116;15
2018-11-08;33;40;29;91;16
2018-11-09;26;37;18;77;7
2018-11-16;29;40;28;85;22
2018-11-17;18;36;32;64;24
2018-11-23;44;41;28;108;19
2018-11-27;32;38;24;87;9
2018-11-28;;;37;;17
2018-11-29;;;45;;23
2018-11-30;;;29;;14
2018-12-08;;;33;;23
2018-12-09;;;26;;15
2018-12-18;50;55;29;131;17
2018-12-20;43;48;26;113;12
2018-12-25;;;27;;21
2018-12-27;;;52;;35
2018-12-29;23;39;42;74;31
2019-01-04;45;42;44;111;29
2019-01-08;;;46;;31
2019-01-12;37;58;40;115;24
2019-01-13;29;46;30;89;19
2019-01-15;67;59;41;161;23
2019-01-19;23;43;31;78;20
2019-01-20;23;40;26;75;18
2019-01-21;40;48;23;109;9
2019-01-22;19;37;22;66;11
2019-01-24;13;24;17;43;4
2019-01-27;4;19;18;26;8
2019-01-30;24;36;18;73;7
2019-01-31;14;23;18;44;4
2019-02-03;9;14;19;27;5
2019-02-07;53;54;50;136;32
2019-02-13;33;51;37;101;20
2019-02-28;41;64;56;127;28
2019-03-02;13;40;53;60;34
2019-03-12;26;46;38;86;21
2019-03-13;20;41;35;71;19
2019-03-15;34;50;55;101;29
2019-03-21;15;36;30;59;16
2019-03-22;15;44;35;68;20
2019-03-27;14;35;27;56;13
2019-04-07;10;18;7;33;4
2019-04-09;16;26;13;51;5
2019-04-12;12;33;27;52;14
2019-04-13;9;33;32;46;21
2019-04-15;12;29;32;47;22
2019-04-17;12;29;27;48;19
2019-04-19;6;17;20;26;16
2019-04-20;5;15;34;23;22
2019-04-28;4;10;17;16;10
2019-05-01;6;15;23;25;17
2019-05-02;15;35;24;58;16
2019-05-11;9;21;20;34;12
2019-05-14;12;31;28;49;14
2019-05-21;15;33;20;56;12
2019-05-28;16;34;25;59;15
2019-05-29;12;25;18;42;7
2019-05-31;19;37;28;66;13
2019-06-01;10;27;19;41;10
2019-06-02;7;19;15;30;7
2019-06-10;10;26;22;41;11
2019-06-13;12;24;16;42;8
2019-06-14;12;30;24;48;13
2019-06-15;8;19;20;31;8
2019-06-16;5;15;20;23;13
2019-06-19;10;22;21;38;14
2019-06-23;;;16;;11
2019-06-26;;;14;;9
2019-06-28;20;59;21;90;12
2019-06-30;6;25;18;35;12
2019-07-04;21;47;16;78;11
2019-07-06;10;32;22;47;16
2019-07-08;20;38;31;68;19
2019-07-11;20;41;17;71;11
2019-07-13;9;31;13;45;8
2019-07-15;14;33;14;55;10
2019-07-18;13;33;13;52;8
2019-07-22;12;32;21;50;13
2019-07-28;5;8;7;15;3
2019-08-02;11;35;13;51;7
2019-08-03;7;24;12;34;7
2019-08-04;7;22;11;33;7
2019-08-07;12;34;29;53;19
2019-08-10;9;24;20;37;12
2019-08-13;10;23;14;38;6
2019-08-16;10;20;12;34;9
2019-08-19;13;22;14;41;10
2019-08-24;11;29;16;45;12
2019-08-30;16;38;19;62;13
2019-09-03;15;27;12;49;8
2019-09-13;;;12;;8
2019-09-20;13;36;35;56;21
2019-09-24;24;41;24;78;8
2019-09-30;16;35;34;59;22
2019-10-05;11;30;24;46;11
2019-10-14;15;29;26;52;16
2019-10-16;24;40;24;76;9
2019-10-19;12;25;23;42;13
2019-10-20;8;19;11;32;7
2019-10-24;28;32;17;75;7
2019-10-25;24;47;30;84;17
2019-10-30;35;54;45;107;31
2019-11-07;20;28;15;57;6
2019-11-12;18;30;16;58;6
2019-11-15;24;33;11;69;5
2019-11-16;21;34;14;66;8
2019-11-18;29;38;14;82;6
2019-11-19;34;44;18;96;9
2019-11-21;42;44;19;109;13
2019-11-24;7;15;8;25;5
2019-11-27;15;26;13;49;5
2019-11-28;16;25;11;50;6
2019-12-01;7;17;11;27;8
2019-12-02;14;25;11;46;7
2019-12-05;23;33;9;68;7
2019-12-06;21;32;21;64;16
2019-12-11;30;35;18;81;9
2019-12-15;13;29;13;49;8
2019-12-17;46;40;44;110;26
2019-12-22;4;6;12;13;7
2020-01-05;9;24;20;37;16
2020-01-06;11;21;19;37;17
2020-01-09;31;32;32;79;26
2020-01-11;17;27;22;53;15
2020-01-12;14;22;28;44;20
2020-01-14;46;41;45;112;27
2020-01-19;6;6;8;15;6
2020-01-24;;;71;;41
2020-01-26;;;30;;20
2020-02-02;15;24;11;46;7
2020-02-05;13;26;19;45;11
2020-02-08;25;40;41;78;35
2020-02-09;12;29;44;47;38
2020-02-14;31;41;29;88;20
2020-02-23;8;27;26;39;22
2020-02-25;51;57;41;135;21
2020-02-28;35;39;93;93;42
2020-03-05;21;27;19;60;9
2020-03-07;9;23;19;37;12
2020-03-08;10;27;16;42;9
2020-03-13;19;34;24;63;21
2020-03-18;12;22;24;41;20
2020-03-19;9;13;23;26;21
2020-03-21;8;15;20;27;18
2020-03-23;9;15;12;29;10
2020-03-27;7;19;13;30;11
2020-03-30;6;12;13;21;11
2020-04-02;4;10;7;16;5
2020-04-05;4;11;13;16;11
2020-04-07;6;14;16;22;14
2020-04-10;6;13;23;21;21
2020-04-12;5;9;18;17;17
2020-04-15;10;21;18;36;18
2020-04-22;9;17;3;31;2
2020-04-26;6;13;10;21;10
2020-05-02;6;10;3;20;2
2020-05-06;7;16;3;26;2
2020-05-07;8;17;6;29;2
2020-05-08;6;9;4;19;2
2020-05-12;7;14;15;23;7
2020-05-13;5;13;12;21;7
2020-05-27;6;15;5;24;2
2020-05-29;6;19;10;29;4
2020-05-30;5;12;6;20;3
2020-05-31;5;7;2;15;1
2020-06-02;9;17;5;31;3
2020-06-08;6;15;7;24;4
2020-06-12;8;15;14;26;4
2020-06-13;6;14;10;24;4
2020-06-18;7;18;12;28;7
2020-06-19;7;21;11;31;7
2020-06-22;11;34;18;51;10
2020-06-25;16;35;16;60;7
2020-07-03;14;26;29;48;10
2020-07-07;16;35;49;59;14
2020-07-10;9;31;24;45;10
2020-07-11;8;16;18;28;10
2020-07-12;7;18;12;29;8
2020-07-13;11;25;16;42;8
2020-07-18;8;22;10;34;6
2020-07-21;11;26;25;42;9
2020-07-22;14;42;35;62;11
2020-07-28;9;29;27;42;10
2020-07-29;8;23;24;34;11
2020-07-31;11;41;19;58;10
2020-08-06;11;31;8;47;5
2020-08-09;7;21;;32;
2020-08-10;9;31;;45;
2020-08-13;9;28;8;41;7
2020-08-15;6;21;8;30;7
2020-08-18;9;29;5;43;5
2020-08-21;10;31;5;46;4
2020-08-23;6;20;6;30;5
2020-08-28;10;31;7;47;6
2020-09-03;11;40;3;57;3
2020-09-04;13;39;4;58;3
2020-09-05;9;28;4;41;4
2020-09-13;6;19;6;29;5
2020-09-14;13;35;5;54;5
2020-09-18;10;29;7;44;6
2020-09-23;16;48;6;73;6
2020-09-29;12;35;3;54;3
2020-10-02;8;22;4;33;3
2020-10-03;7;18;2;28;2
2020-10-04;5;12;2;20;2
2020-10-07;16;50;3;74;3
2020-10-10;5;23;5;31;4
2020-10-15;8;19;1;31;1
2020-10-23;13;37;3;57;2
2020-10-24;8;25;3;38;2
2020-10-25;6;11;3;20;3
2020-10-29;23;52;5;88;5
2020-10-30;18;51;9;79;8
2020-11-01;8;33;8;46;8
2020-11-02;29;53;10;97;10
2020-11-03;14;40;10;62;10
2020-11-05;6;21;4;30;4
2020-11-07;12;36;4;55;4
2020-11-09;16;46;4;71;4
2020-11-10;18;46;5;73;4
2020-11-11;21;50;7;82;6
2020-11-12;26;55;7;95;7
2020-11-13;21;55;9;87;8
2020-11-19;29;58;12;102;12
2020-11-20;33;62;5;112;5
2020-11-22;11;41;6;57;6
2020-11-27;9;29;3;42;3
2020-11-29;22;48;5;81;5
2020-11-30;49;70;6;144;6
2020-12-02;;;3;;2
2020-12-04;10;49;3;64;2
2020-12-06;4;21;2;27;2
2020-12-07;;;2;;1
2020-12-08;9;30;1;43;1
2020-12-09;14;49;2;71;2
2020-12-12;7;20;3;31;3
2020-12-17;32;33;7;82;6
2020-12-21;35;31;7;85;7
2020-12-23;49;30;10;106;10
2020-12-24;31;27;5;74;5
2020-12-25;8;15;2;27;2
2020-12-26;17;26;4;51;4
2020-12-29;15;17;3;39;2
2021-01-10;12;17;6;35;6
2021-01-12;27;25;8;66;8
2021-01-14;54;36;12;118;12
2021-01-15;21;22;4;55;4
2021-01-25;9;13;2;26;2
2021-01-29;20;17;3;48;3
2021-01-30;6;6;2;15;2
2021-01-31;6;6;1;15;1
2021-02-03;14;20;4;41;4
2021-02-07;7;7;2;16;1
2021-02-09;11;15;2;31;2
2021-02-10;10;12;2;28;2
2021-02-11;19;17;3;47;3
2021-02-12;11;12;4;29;3
2021-02-13;7;12;5;23;5
2021-02-14;6;9;8;18;7
2021-02-15;11;17;9;34;8
2021-02-19;14;18;61;39;59
2021-02-23;10;14;11;29;10
2021-02-24;7;14;20;25;19
2021-02-28;5;8;30;16;29
2021-03-03;5;13;43;21;41
2021-03-09;12;15;14;34;13
2021-03-11;40;30;34;91;33
2021-03-12;10;13;16;28;15
2021-03-13;7;13;20;24;19
2021-03-16;30;23;20;70;19
2021-03-17;17;22;20;48;19
2021-03-20;6;10;10;19;9
2021-03-24;12;20;30;38;29
2021-03-25;10;16;44;31;43
2021-04-06;17;18;22;45;21
2021-04-09;11;19;14;36;13
2021-04-16;12;16;16;34;15
2021-04-19;20;19;20;49;19
2021-04-21;7;13;26;23;25
2021-04-25;6;8;20;18;19
2021-05-02;6;7;10;15;9
2021-05-07;24;22;25;59;24
2021-05-10;18;15;7;43;6
2021-05-11;10;11;5;26;3
2021-05-12;10;12;6;28;5
2021-05-15;16;18;10;42;9
2021-05-16;11;10;6;26;5
2021-05-17;7;7;6;18;5
2021-05-18;9;12;9;26;8
2021-05-19;7;9;8;19;6
2021-05-20;12;13;9;32;8
2021-05-23;5;5;6;13;6
2021-05-27;16;17;15;42;14
2021-06-02;9;15;12;28;11
2021-06-09;6;9;24;17;14
2021-06-11;8;11;21;23;10
2021-06-16;7;12;27;22;13
2021-06-18;8;10;31;22;15
2021-06-28;6;7;23;16;11
2021-07-03;7;7;;17;
2021-07-04;6;6;;15;
2021-07-07;3;6;18;11;6
2021-07-08;3;6;20;10;8
2021-07-10;1;3;20;4;9
2021-07-17;1;2;19;3;9
2021-07-19;2;8;22;10;10
2021-07-21;2;5;25;7;13
2021-07-27;3;12;23;17;11
2021-07-28;3;6;24;9;12
2021-07-29;2;6;24;8;13
2021-07-31;1;3;34;4;17
2021-08-06;1;6;31;7;15
2021-08-07;2;5;29;8;13
2021-08-08;1;2;25;3;11
2021-08-12;7;24;;33;
2021-08-24;2;5;27;8;12
2021-08-25;3;10;18;14;9
2021-09-07;2;8;28;10;11
2021-09-13;5;18;26;25;12
2021-09-14;5;11;33;18;13
2021-09-15;4;14;29;20;12
2021-09-20;7;11;17;22;6
2021-09-25;2;14;34;18;20
2021-09-27;5;17;27;25;12
2021-10-07;5;16;24;24;9
2021-10-11;4;15;25;20;12
2021-10-14;5;21;28;28;13
2021-10-17;1;8;25;9;13
2021-10-19;7;16;27;27;14
2021-10-22;2;12;20;14;8
2021-10-23;2;7;18;9;7
2021-11-02;3;13;12;17;4
2021-11-03;3;11;13;15;4
2021-11-05;6;16;17;25;6
2021-11-06;1;11;20;13;7
2021-11-07;2;12;15;16;6
2021-11-08;22;37;34;70;12
2021-11-11;9;27;28;40;12
2021-11-15;11;24;24;39;8
2021-11-27;3;12;;16;
2021-11-28;4;8;;15;
2021-11-29;8;19;;31;
2021-12-04;6;13;;23;
2021-12-08;6;9;;18;
2021-12-10;8;18;;29;
2021-12-11;6;13;;21;
2021-12-14;21;45;;77;
2021-12-16;28;32;;75;
2021-12-19;12;28;34;46;25
2021-12-20;40;46;32;107;19
2021-12-23;23;36;40;72;27
2021-12-25;6;15;10;25;5
2021-12-28;9;15;17;29;6
2022-01-04;14;27;23;49;9
2022-01-05;8;23;18;36;6
2022-01-06;8;20;14;33;7
2022-01-08;10;23;13;39;6
2022-01-14;16;33;28;57;15
2022-01-15;11;29;23;46;15
2022-01-22;9;29;27;42;16
2022-01-28;29;51;32;96;15
2022-02-07;21;42;32;73;17
2022-02-08;17;39;31;65;15
2022-02-10;13;34;30;54;17
2022-02-11;29;46;44;90;25
2022-02-15;11;27;21;44;6
2022-02-20;6;16;14;25;7
2022-02-21;17;23;22;49;8
2022-02-23;15;35;33;58;15
2022-02-28;11;38;;55;
2022-03-01;19;38;;68;
2022-03-04;8;23;22;35;11
2022-03-06;3;11;;15;
2022-03-11;12;31;34;48;21
2022-03-21;5;14;27;21;15
2022-03-27;1;11;40;13;20
2022-03-28;7;20;52;31;24
2022-04-01;2;10;14;13;5
2022-04-03;3;10;12;14;5
2022-04-12;4;16;35;23;18
2022-04-15;2;14;23;17;11
2022-04-16;3;20;33;23;16
2022-04-17;2;12;26;15;13
2022-04-23;1;6;6;8;2
2022-04-28;5;21;29;29;19
2022-05-12;2;15;34;18;15
2022-05-13;5;17;34;24;17
2022-05-14;3;17;34;21;17
2022-05-16;5;22;44;30;21
2022-05-17;7;24;45;35;21
2022-05-19;5;14;43;22;22
2022-05-20;3;15;34;19;15
2022-05-22;3;16;26;20;13
2022-05-24;2;9;31;11;11
2022-05-26;6;17;20;26;7
2022-05-27;6;24;26;33;9
2022-05-30;3;13;24;17;11
2022-06-12;2;16;20;19;8
2022-06-14;3;15;22;20;9
2022-06-16;4;22;28;28;12
2022-06-21;3;15;41;19;18
2022-06-22;5;15;35;22;12
2022-06-23;4;19;24;25;7
2022-06-24;4;12;18;17;7
2022-06-26;1;6;19;7;10
2022-06-30;2;9;22;12;10
2022-07-02;2;9;21;11;11
2022-07-04;4;15;24;20;10
2022-07-05;2;9;27;11;11
2022-07-07;3;15;22;20;9
2022-07-10;2;10;18;12;9
2022-07-15;5;22;26;30;12
2022-07-18;4;18;30;24;14
2022-07-21;3;13;23;18;12
2022-07-23;2;9;27;11;15
2022-07-26;2;10;29;13;14
2022-07-31;1;8;;10;
2022-08-04;3;13;27;17;11
2022-08-05;2;11;21;15;9
2022-08-07;2;8;19;10;10
2022-08-08;2;11;25;14;11
2022-08-10;2;10;22;13;11
2022-08-13;4;13;76;19;21
2022-08-15;2;9;33;11;16
2022-08-19;2;13;25;16;13
2022-08-20;2;10;19;13;10
2022-08-21;2;11;21;14;11
2022-08-26;3;12;20;17;9
2022-08-29;3;12;22;16;10
2022-09-04;1;7;22;8;10
2022-09-06;5;17;33;24;12
2022-09-09;4;16;26;23;9
2022-09-14;6;16;24;25;9
2022-09-18;1;9;18;10;10
2022-09-25;1;11;14;13;6
2022-09-29;5;26;15;33;5
2022-09-30;6;28;13;36;4
2022-10-01;4;25;14;30;6
2022-10-03;9;43;24;56;8
2022-10-04;16;36;26;60;11
2022-10-10;13;33;;52;
2022-10-14;17;50;30;75;13
2022-10-18;8;34;52;47;21
2022-10-19;8;29;64;41;27
2022-10-24;21;51;40;84;14
2022-10-27;10;35;52;50;25
2022-10-28;8;37;44;48;22
2022-10-29;3;31;37;34;21
2022-10-31;8;39;41;51;21
2022-11-03;11;35;30;52;12
2022-11-04;6;25;17;35;5
2022-11-08;16;44;30;69;12
2022-11-11;9;37;13;50;7
2022-11-12;2;19;27;21;13
2022-11-14;18;38;26;65;11
2022-11-15;13;32;14;52;6
2022-11-17;5;16;8;23;2
2022-11-22;6;21;9;30;3
2022-11-28;6;30;14;39;6
2022-11-29;9;28;11;42;5
2022-11-30;24;54;26;91;10
2022-12-01;2;24;15;27;7
2022-12-05;6;33;24;42;15
2022-12-06;10;37;32;52;20
2022-12-13;12;32;11;50;5
2022-12-14;22;47;17;80;7
2022-12-15;5;30;11;38;5
2022-12-18;7;31;18;41;13
2022-12-20;26;46;34;86;15
2022-12-21;5;26;16;33;6
2022-12-23;9;32;11;45;5
2022-12-25;4;31;17;38;9
2022-12-27;19;50;30;78;15
2022-12-29;8;31;23;43;10
2022-12-30;6;26;25;35;9
2023-01-01;11;36;29;53;19
2023-01-04;20;46;31;77;19
2023-01-06;12;41;26;59;18
2023-01-07;7;30;19;40;12
2023-01-09;7;34;14;45;5
2023-01-12;17;45;22;72;10
2023-01-19;7;24;9;34;3
2023-01-20;16;40;17;65;7
2023-01-29;3;22;13;26;8
2023-02-02;19;59;33;88;19
2023-02-04;19;64;28;92;14
2023-02-07;4;31;21;36;10
2023-02-08;2;21;10;24;7
2023-02-09;2;22;15;24;8
2023-02-14;7;35;25;46;17
2023-02-16;13;44;32;64;20
2023-02-17;24;57;35;94;23
2023-02-18;12;48;31;66;20
2023-02-19;8;52;35;64;24
2023-02-20;20;70;49;100;31
2023-02-21;36;76;48;131;26
2023-02-26;37;40;22;97;10
2023-02-27;18;28;15;56;6
2023-03-06;11;36;14;53;7
2023-03-07;9;29;18;42;8
2023-03-10;7;28;20;38;9
2023-03-12;7;23;;33;
2023-03-15;12;43;;61;
2023-03-16;11;34;;51;
2023-03-17;7;29;39;39;21
2023-03-24;8;53;43;65;24
2023-03-30;23;47;37;82;13
2023-03-31;4;22;36;27;9
2023-04-11;4;24;26;30;17
2023-04-17;2;15;17;17;7
2023-04-19;5;29;19;37;9
2023-04-20;9;38;29;51;11
2023-04-21;5;23;30;29;15
2023-04-27;4;27;25;33;15
2023-04-28;3;27;24;30;15
2023-04-29;4;28;25;33;12
2023-05-01;2;17;16;19;9
2023-05-05;3;20;26;24;15
2023-05-13;4;14;13;20;5
2023-05-16;5;19;17;27;5
2023-05-20;4;24;21;30;11
2023-05-21;3;13;17;18;9
2023-05-23;5;31;23;38;13
2023-05-26;4;20;21;27;11
2023-05-28;4;17;27;23;14
2023-05-29;5;26;26;34;14
2023-05-30;7;29;25;40;12
2023-05-31;7;30;29;42;13
2023-06-02;4;22;23;29;14
2023-06-05;6;21;17;29;8
2023-06-06;6;24;17;34;8
2023-06-11;3;14;22;19;12
2023-06-14;8;31;17;43;7
2023-06-18;3;17;24;22;13
2023-06-29;6;20;22;30;12
2023-07-01;6;20;21;29;11
2023-07-03;5;21;;29;
2023-07-06;5;19;17;27;9
2023-07-15;4;14;36;19;17
2023-07-19;5;24;46;32;21
2023-07-22;3;14;33;19;15
2023-07-25;4;17;25;24;10
2023-07-26;4;17;22;24;8
2023-07-31;4;14;29;20;12
2023-08-06;4;16;21;22;8
2023-08-11;3;16;24;20;12
2023-08-12;3;15;28;20;15
2023-08-13;3;11;23;16;12
2023-08-15;3;10;21;14;10
2023-08-17;4;15;27;22;14
2023-08-19;3;15;26;20;15
2023-08-20;3;13;24;19;13
2023-08-23;6;38;46;47;16
2023-08-29;6;20;14;29;5
2023-09-05;4;18;42;24;17
2023-09-06;4;16;20;21;10
2023-09-08;6;29;23;37;11
2023-09-10;3;12;17;17;10
2023-09-11;6;22;21;31;11
2023-09-12;5;20;21;27;11
2023-09-25;11;25;17;42;7
2023-09-27;6;26;18;35;8
2023-09-28;10;31;23;46;9
2023-09-29;9;36;21;49;11
2023-10-05;8;32;23;44;14
2023-10-06;10;32;29;47;16
2023-10-07;4;23;28;29;17
2023-10-18;5;21;20;28;7
2023-10-24;5;18;7;26;2
2023-11-01;4;19;14;25;5
2023-11-05;4;12;11;19;6
2023-11-08;14;39;17;61;7
2023-11-09;9;32;14;46;5
2023-11-10;7;24;14;35;5
2023-11-14;25;40;24;78;8
2023-11-18;6;30;24;39;16
2023-11-23;21;46;30;78;10
2023-11-26;6;27;28;36;14
2023-11-29;14;33;14;54;5
2023-12-09;5;23;11;31;5
2023-12-10;7;16;7;26;3
2023-12-11;30;47;27;92;9
2023-12-19;51;65;38;143;15
2023-12-21;25;51;17;89;7
2023-12-24;10;38;21;54;13
2023-12-25;11;39;21;56;14
2023-12-27;28;57;31;100;18
2023-12-29;37;62;56;119;39
2023-12-31;6;21;22;30;15
2024-01-01;6;29;14;38;9
2024-01-02;9;31;15;45;6
2024-01-04;13;39;21;58;11
2024-01-07;4;12;6;18;3
2024-01-13;21;48;29;80;20
2024-01-14;15;25;21;48;9
2024-01-17;11;24;23;40;6
2024-01-28;6;24;34;33;28
2024-01-31;11;40;31;57;20
2024-02-03;11;39;33;55;21
2024-02-16;8;40;21;53;15
2024-02-19;17;44;22;71;11
2024-02-23;5;16;9;24;3
2024-02-25;4;11;8;16;4
2024-02-26;5;18;10;25;4
2024-02-29;9;30;19;43;6
2024-03-02;4;13;15;20;7
2024-03-03;4;9;;15;
2024-03-04;10;25;;41;
2024-03-05;12;29;;47;
2024-03-06;12;32;;50;
2024-03-08;7;22;;33;
2024-03-13;11;40;29;57;15
2024-03-14;15;42;34;65;17
2024-03-19;8;23;48;35;36
2024-03-24;3;17;28;22;14
2024-03-25;4;24;16;31;9
2024-03-28;5;24;16;32;7
2024-04-03;7;31;17;42;7
2024-04-04;9;31;22;44;9
2024-04-07;3;15;40;20;21
2024-04-11;4;20;19;25;8
2024-04-12;8;42;25;54;9
2024-04-13;7;44;26;55;10
2024-04-20;4;20;17;26;8
2024-04-23;4;18;13;24;5
2024-04-25;5;20;19;28;8
2024-05-01;3;8;7;13;3
2024-05-04;5;21;17;28;8
2024-05-05;4;25;22;32;11
2024-05-07;7;23;17;33;7
2024-05-08;7;24;17;34;6
2024-05-09;7;28;21;39;7
2024-05-12;4;12;;18;
2024-05-14;7;25;21;36;10
2024-05-15;6;17;16;26;6
2024-05-17;6;22;23;31;7
2024-05-22;5;18;15;26;6
2024-05-25;3;11;15;16;8
2024-05-30;6;22;22;32;10
2024-06-01;3;12;15;16;7
2024-06-05;6;17;19;26;9
2024-06-06;6;20;20;29;9
2024-06-07;5;22;22;29;9
2024-06-09;3;10;16;16;7
2024-06-12;5;19;14;26;7
2024-06-14;6;24;24;33;12
2024-06-15;3;13;;18;
2024-06-16;3;6;;10;
2024-06-20;7;11;22;22;7
2024-06-27;4;9;17;15;7
2024-06-29;4;7;16;13;6
2024-06-30;3;7;19;11;10
2024-07-01;3;11;17;15;10
2024-07-06;4;8;16;13;8
2024-07-09;3;9;19;14;9
2024-07-10;4;11;25;17;12
2024-07-12;3;9;31;14;14
2024-07-14;3;7;25;12;13
2024-07-17;3;6;19;10;10
2024-07-22;4;9;22;14;10
2024-07-28;3;6;22;10;11
2024-07-29;4;11;30;18;13
2024-07-31;5;15;33;22;14
2024-08-01;4;10;28;15;14
2024-08-06;3;7;23;12;12
2024-08-08;4;10;23;17;11
2024-08-09;6;13;23;22;12
2024-08-13;3;8;25;12;11
2024-08-16;4;11;14;17;6
2024-08-17;4;12;19;18;9
2024-08-18;3;9;17;13;9
2024-08-20;3;9;25;14;15
2024-08-21;3;8;27;12;18
2024-08-25;3;6;26;10;14
2024-08-26;3;7;19;12;9
2024-08-27;4;11;24;17;10
2024-08-30;2;7;22;10;10
2024-08-31;2;6;25;10;12
2024-09-04;3;15;22;20;10
2024-09-06;6;13;25;22;10
2024-09-07;6;12;29;21;12
2024-09-10;4;10;26;16;11
2024-09-14;2;9;24;13;9
2024-09-15;2;7;24;10;10
2024-09-22;3;7;20;11;11
2024-09-24;8;16;43;28;21
2024-09-26;5;9;30;17;6
2024-09-27;4;8;21;14;7
2024-09-28;2;10;17;14;6
2024-10-04;5;15;27;22;9
2024-10-11;4;12;25;19;11
2024-10-13;2;8;24;11;14
2024-10-14;3;9;28;14;13
2024-10-19;3;12;21;17;9
2024-10-21;6;12;26;21;12
2024-10-22;6;14;25;24;11
2024-10-26;4;11;11;17;5
2024-10-27;2;10;7;13;5
2024-10-28;7;16;20;27;9
2024-10-29;2;8;39;11;20
2024-11-03;2;9;26;12;14
2024-11-08;12;26;55;44;20
2024-11-15;2;19;34;23;16
2024-11-17;8;22;51;34;20
2024-11-19;;;83;;25
2024-11-20;7;20;52;30;14
2024-11-24;3;17;36;22;17
2024-11-25;19;36;122;65;36
2024-11-26;17;30;35;56;12
2024-11-27;21;37;44;70;18
2024-11-29;31;39;82;86;32
2024-11-30;11;30;60;47;38
2024-12-06;7;25;39;36;13
2024-12-07;5;18;33;25;11
2024-12-10;12;29;34;48;10
2024-12-13;16;34;46;59;19
2024-12-15;8;25;27;38;11
2024-12-16;18;33;39;61;13
2024-12-22;5;22;30;29;10
2024-12-26;24;35;40;71;20
2024-12-27;24;40;45;77;24
2024-12-29;12;27;31;45;20
2024-12-30;20;36;38;67;20
2024-12-31;9;24;28;39;20
2025-01-01;4;22;21;28;18
2025-01-06;7;20;21;30;8
2025-01-18;14;30;30;52;15
2025-01-19;6;26;27;35;14
2025-01-20;22;42;42;76;18
2025-01-26;3;16;14;21;6
2025-01-28;4;11;16;17;4
2025-02-02;6;20;17;28;9
2025-02-03;19;36;27;65;11
2025-02-04;16;35;40;60;15
2025-02-09;4;20;22;27;12
2025-02-12;10;25;40;40;22
2025-02-15;5;20;36;28;23
2025-02-18;8;20;44;32;26
2025-02-19;14;25;48;46;30
2025-02-24;13;29;36;49;12
2025-02-26;8;25;26;37;9
2018-10-16;38;59;54;117;20
2018-10-19;32;62;17;111;10
2018-10-23;36;66;48;122;32
2018-10-25;60;88;47;181;24
2018-10-27;17;31;18;57;13
2018-10-31;16;32;10;57;7
2018-11-01;25;33;20;71;12
2018-11-06;15;30;12;53;6
2018-11-10;13;28;14;48;8
2018-11-13;31;43;46;90;31
2018-11-15;24;37;34;74;26
2018-11-22;50;45;41;121;20
2018-11-25;8;18;11;30;6
2018-11-26;21;29;15;60;6
2018-12-03;;;47;;24
2018-12-04;;;49;;25
2018-12-05;;;55;;38
2018-12-06;;;44;;31
2018-12-11;;;49;;30
2018-12-12;;;42;;26
2018-12-14;23;38;13;73;6
2018-12-15;17;34;15;60;8
2018-12-19;27;43;19;85;10
2018-12-26;31;29;44;75;32
2018-12-30;18;36;33;64;22
2018-12-31;18;41;36;69;22
2019-01-02;55;48;40;132;21
